Feature ID	Taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
131d083f47ad831f936483629d574db4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae				
13280e2223dddd0c3202180344d9e322	Unassigned								
133ba9365173b9bcd1c970a8e37380b6	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae				
13464e10f44b33e1cd9783365b5d1b23	Fungi	Ascomycota							
135d6819dc2c1dd9c833c64d6db7e906	Fungi	Ascomycota	Dothideomycetes	Pleosporales					
13cdd45b1a62d0d8c0c7f5e17ff5e209	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae				
13d431d3ba5fff6dcffb87c45a0f39a5	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia			
13d8805e752eb907535b5d07b86de69e	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	Erythrobasidium_sp		
140cdd92c50b25c9bccba4b64535115a	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Physcia			
141816c363c7541461bb45b5ddcc2e89	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae				
1435e85070421059de9e046fbc125c4d	Unassigned								
144f8db73e14b8bb2d3692cb49364dac	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
147f63194a47c2a41c16730c578449b7	Fungi	Basidiomycota	Microbotryomycetes						
1491e4372dbfd79bb5eb4879c8c423bb	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor			
14a9e89215b928ec89fe93b537aa459d	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae				
14bc436a9b127ca635c32df37d813ae0	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium			
14cefdd6be878532dc06d7a234bab0be	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae				
14e043aeb6d891c449f238c9fb3e33f3	Unassigned								
1522826e52cde14171ae57dfed5cf6db	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis				
1547eb7fb5594d0660a27e2801079637	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae				
154824158e2198c6c9c913c80665f218	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora_sp		
155e42ed8d30ec51710c307709fea2f8	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis				
156703b79a098132e990e197a593b281	Unassigned								
156c25f89b0ae0911275be48ee6536bf	Unassigned								
