Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
217f2d5b851ca317c1435dce3814cf8b	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		
2192fd8441e19f157d5e74e0537c9427	Fungi	Basiddiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon		
219d8044d12fe409706f1eaf4bb255d2	Fungi	Ascomycota	Sordariomycetes	Hypocreales				
224371aac4d4fc1a4a4ebbad1b9c6bee	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma		
2252e5f628b3f716b8d55fdc20c49f5e	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellales_fam_Incertae_sedis	Glomerellales_gen_Incertae_sedis	Glomerellales_sp	
228fb43cbf86da3ce525b02edf6296fa	Fungi	Basiddiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa		
22b8feaa90b42b54c903fd31cd9992b4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella		
22f8573adb788fb1728011d9fc8de7aa	Fungi	Ascomycota	Dothideomycetes					
232ffc43a3be34c35ed6a769ccc69aae	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	Rozellomycota_sp	
233417947dfb30cd6342c4e3b85cb2bd	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina		
233b80c857a414b682dde224e1a733c5	Unassigned							
23e207b31b5447082f49ca32798961b2	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema		
246c92b4d9db11aa8abc768f34eef981	Viridiplantae	Anthophyta	Eudicotyledonae	Brassicales	Brassicaceae			
25062738549dafc1d202c2cbc7bed7cf	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina		
254d7374aab7d92507be221da047fa59	Fungi	Ascomycota	Dothideomycetes	Pleosporales				
257d7149b348a152f4821e14b7631816	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis			
25b06a4d442e1ec1fffc74ac8bfc0db3	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma		
25b9afacf59aea9d56f8032d5db33dd3	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia		
25e22cd9b7b8dd2f7fb7e519c28ad5d8	Viridiplantae	Anthophyta	Monocotyledonae	Poales	Poaceae	Digitaria		
261312d7821770eaaf5885a9eadc0dd2	Ichthyosporia	_Ichthyosporia_phy_Incertae_sedis	Ichthyosporia_cls_Incertae_sedis	Ichthyosporia_ord_Incertae_sedis	Ichthyosporia_fam_Incertae_sedis	Ichthyosporia_gen_Incertae_sedis	Ichthyosporia_sp	
264022a7ee2a49fccc7b61b50171b5f8	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Oncopodiella	Oncopodiella_sp	
26a36604fdabd56ae068ac9ad4305044	Unassigned							
26cb0d9c31741cb3a70e592df6a55f09	Fungi	Basiddiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae			
26e39e986468e0dc96900062a8873635	Fungi	Basiddiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium		
271c492572778d849d554e3833d802ca	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Bulleribasidium		
272443635e47bb81359b7a9340b5a7ae	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma		
27a52138998c22b441a5de480b22b1e5	Fungi	Basiddiomycota	Cystobasidiomycetes					
27f291b07565d14509d3324f62240365	Fungi	Ascomycota	Sordariomycetes					
285c29e9e8b4d1961b9b80e953f3d295	Fungi	Ascomycota	Dothideomycetes	Pleosporales				
28f918cad4c9c0345c308f362b414015	Fungi	Basiddiomycota	Agaricomycetes	Agaricales	Radulomycetaceae	Radulomyces		
2920eaa5b3afdb1f5da0444ca964ba6d	Eukaryota_kgd_Incertae_sedis	_Eukaryota_phy_Incertae_sedis	Eukaryota_cls_Incertae_sedis	Eukaryota_ord_Incertae_sedis	Eukaryota_fam_Incertae_sedis	Eukaryota_gen_Incertae_sedis	Eukaryota_sp	sh__SH1114996.09FU
2992630e8b5f9eeca12a2120e9b8ee4f	Fungi	Basiddiomycota	Microbotryomycetes	Microbotryales	Ustilentylomataceae	Ustilentyloma		
29c2c6ad58c30f99fb88db738ffdeac7	Viridiplantae	Anthophyta	Eudicotyledonae	Dipsacales	Caprifoliaceae	Lonicera		
2a00aa736d7060cdeaa0dd437f8f5c66	Fungi	Ascomycota						
2a1bd7e95034813906aadf4ac0ad9c35	Fungi	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Mollisia		
2a1f6b6cec6591ae8358bf6d3b9adc08	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae			
2a5a14bda9fda12398cd5eb6ade7bafe	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae			
2a7f0efdb4d845bf01e76c2ee0bdfb9b	Fungi	Ascomycota	Leotiomycetes	Helotiales				
2b6459fbd85994ef88c7f2f6e6b0ef06	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Monochaetia		
2b8d600a209230e00224cb885460f078	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria		
2bd4b3695cb6ab72a6232fbebebbd1bb	Unassigned							
2c3f5f976c99da49dfb666ceae5126e5	Fungi	_Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	Fungi_sp	sh__SH1055727.09FU
2c42a77bc8c8e6be9cb309d77bf962a6	Fungi	Basiddiomycota	Agaricomycetes	Polyporales	Polyporales_fam_Incertae_sedis	Fuscopostia		
2c4901760dea71212f6d74309c1ceda4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Paramyrothecium		
2c6e9ed638a2a3bc68e047bb39b3c967	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia		
2cdd50a3f320b3c7b677ee71687142dc	Fungi	Basiddiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe		
2cf9d480d591c70243873cb6db4e5e91	Fungi	Basiddiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium		
2d5523bda6bf1e78c7614c68453146cb	Unassigned							
2e3e43522a140cd3324fbad936b0eb54	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Septoria		
2e6b7f36cbf3f55a61aaa80315ea60ad	Fungi	Basiddiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Heterocephalacria		
2e75ced6df67adf3997647d71cf4730d	Fungi	Ascomycota	Dothideomycetes	Pleosporales				
2ea8437e7bb95e642c8b5560a15cf315	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae			
2ee1b8c2cbd6be1d335829ce145d2f6a	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium		
2f21d2f65fb6579b9662908474cfeff3	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella		
2f8ef2c3c52a3d332db1c8d11a693e26	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella		
2fb7b365129bcac43a73d08039f6f330	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon		
2fda92e82919eef2206eb938bb485c46	Viridiplantae	Anthophyta	Eudicotyledonae	Fagales	Fagaceae	Quercus		
2ff59dc3bf9812e0316f4736baac3664	Fungi	Basiddiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium		
31427dd830a4aa72c73c5c9304f9be0d	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Plagiostoma		
320ec58b98d7e2ca25578cb2d03818a1	Fungi	Basiddiomycota	Agaricomycetes	Agaricales	Tricholomataceae			
321f96c9514487aa8b994a6d3ab1c1a5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae			
32248b012b3b38392d0446086b7c7b89	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis		
324628558be5d77baabb4b226964da55	Fungi	Basiddiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa		
327cfe7f00435ca0eb4931f36f225a54	Unassigned							
32af28ba4e46d6752d784be23da831bc	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Capnodiales_gen_Incertae_sedis	Capnodiales_sp	
32f50bacd16696d59a7f9c3078c4d5aa	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_sp	
337ad11a4fcaf38a34cec3012d565923	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma		
3487e7a66b1216ab236c1206ef2508a3	Fungi	Basiddiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula		
353b3edbaceb26307ba3d315abed92f0	Fungi	Ascomycota						
35e727e7d4c3c1f848aa4670964e61f5	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Coccomyxaceae	Coccomyxa	Coccomyxa_sp	
36dddcd27cf8310097d20c408e179e51	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales				
379632e43a0649802b3e2b4b2d32ad01	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia		
385851c7b263e7319d78c7aeb775e73b	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium		
385ddb7a21eb372069725f53112e39b5	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Veronaea		
386094dda2e1d219492d77a3ca021ebe	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp	
388fb4b569cd1b7322cdf7191cfceee3	Unassigned							
38a6640408c4cc77d478fc0aa729a382	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella		
392912523e497f5376fbb269c2b25474	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala		
3959991c505109027e882832f80afb9d	Fungi	Basiddiomycota	Cystobasidiomycetes					
39b99f72cb032368ef9360fd0155c0ab	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma		
3ac1cf793a133392a21924847be9cfc4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metapochonia		
3af7c6f9fd5ddc092d3c70f0a58b727b	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		
3b24126876de07754161216be55ef9ba	Fungi	Basiddiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae_gen_Incertae_sedis	Ceratobasidiaceae_sp	sh__SH1087488.09FU
3b8457ef998b664d4caff184b8f263d9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Akanthomyces		
3b8baa1e3dc7edaaa994cc5d2a8bfc9c	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae			
3c292a71c17ff3182e1920842b06a6c2	Fungi	Ascomycota	Leotiomycetes	Helotiales				
3c4e352bed13870b388371d3c98f81aa	Fungi	Basiddiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Kockovaella	Kockovaella_sp	
3cb6f98ca5003c3572e6e85ee5aac7e8	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		
3e05bd778eb254b453491cacfe35e86c	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia		
3ecf6a21ec0bfe6b36ab4e2b1f007456	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	Ascomycota_sp	
3ef735f8198fb1cad619d994fe7baa4f	Fungi	Basiddiomycota	Microbotryomycetes	Sporidiobolales				
3f09ea6a1584e2870a224f897f19f4be	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		
3f5b6f3241124fbc5f078ec91c1238a3	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae			
3f8d85fe081b88502bb4fd30720507b1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Talaromyces		
3fb1a52deefd6d9ffbc4041d90aa67b6	Fungi	Ascomycota	Dothideomycetes	Pleosporales				
3fc4ae710cee30e9eeb56b1f339a1e4d	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria_graminis	
40774862bfe6ac48b628950e3e703bb7	Fungi	Basiddiomycota	Cystobasidiomycetes					
41377ad3a6bc809ca8cfe2d94e8e79ac	Viridiplantae	Anthophyta	Eudicotyledonae	Lamiales	Oleaceae	Fraxinus		
417d3d51e4813b3416f98be938b3b054	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae			
4187ae09dcb7f751221e5e5c260105ef	Fungi	Basiddiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius		
41f92eb6ba87f93073de0dec8c27898d	Viridiplantae	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolales_fam_Incertae_sedis	Elliptochloris	Elliptochloris_sp	
4231e8971ef24102d43a99c8a0dc810b	Fungi	Basiddiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Alnicola		
